;scaler;scaler_object;pca;pca_object;umap;umap_object;log;log_object;fit_time;fit_time_std;score_time;score_time_std;test_BIC;test_BIC_std;test_sensitivity;test_sensitivity_std;test_specificity;test_specificity_std;test_NPV;test_NPV_std;test_PPV;test_PPV_std;test_balanced_accuracy;test_balanced_accuracy_std;test_f1;test_f1_std
11;QuantileTransformer();QuantileTransformer();PCA(n_components=2,);PCA(n_components=2, random_state=123);UMAP(n_components=2,n_neighbors=5,min_dist=0.5,);UMAP(min_dist=0.5, n_neighbors=5, random_state=123, tqdm_kwds={'bar_format': '{desc}: {percentage:3.0f}%| {bar} {n_fmt}/{total_fmt} [{elapsed}]', 'desc': 'Epochs completed', 'disable': True});LogisticRegression(class_weight=None,C=100,);LogisticRegression(C=100, max_iter=1000, random_state=123);0.014882373809814452;0.0009733607380646282;0.01063222885131836;0.0010281664222689109;43.83157582104819;0.007605497116465783;1.0;0.0;0.0;0.0;;;0.6372934240988181;0.00010558559763805562;0.5;0.0;0.7784718532170808;7.877170371096802e-05
12;QuantileTransformer();QuantileTransformer();PCA(n_components=2,);PCA(n_components=2, random_state=123);UMAP(n_components=2,n_neighbors=5,min_dist=0.5,);UMAP(min_dist=0.5, n_neighbors=5, random_state=123, tqdm_kwds={'bar_format': '{desc}: {percentage:3.0f}%| {bar} {n_fmt}/{total_fmt} [{elapsed}]', 'desc': 'Epochs completed', 'disable': True});LogisticRegression(class_weight=None,C=1000,);LogisticRegression(C=1000, max_iter=1000, random_state=123);0.015221214294433594;0.0010288949336503012;0.010428142547607423;0.0010300743701813805;43.83157582104819;0.007605497116465783;1.0;0.0;0.0;0.0;;;0.6372934240988181;0.00010558559763805562;0.5;0.0;0.7784718532170808;7.877170371096802e-05
13;QuantileTransformer();QuantileTransformer();PCA(n_components=2,);PCA(n_components=2, random_state=123);UMAP(n_components=2,n_neighbors=5,min_dist=0.5,);UMAP(min_dist=0.5, n_neighbors=5, random_state=123, tqdm_kwds={'bar_format': '{desc}: {percentage:3.0f}%| {bar} {n_fmt}/{total_fmt} [{elapsed}]', 'desc': 'Epochs completed', 'disable': True});LogisticRegression(class_weight='balanced',C=0.1,);"LogisticRegression(C=0.1, class_weight='balanced', max_iter=1000,
                   random_state=123)";0.017872047424316407;0.0016803010054311726;0.010758161544799805;0.0014945301901527817;51.85630083271694;0.7930203851869946;0.5229856414761332;0.02142284785490336;0.5312242388470809;0.015985910578059422;0.3879775182450835;0.008554613750481447;0.6621657767521016;0.007203013321043803;0.527104940161607;0.008456159588708032;0.5843576583798319;0.015205988455746066
14;QuantileTransformer();QuantileTransformer();PCA(n_components=2,);PCA(n_components=2, random_state=123);UMAP(n_components=2,n_neighbors=5,min_dist=0.5,);UMAP(min_dist=0.5, n_neighbors=5, random_state=123, tqdm_kwds={'bar_format': '{desc}: {percentage:3.0f}%| {bar} {n_fmt}/{total_fmt} [{elapsed}]', 'desc': 'Epochs completed', 'disable': True});LogisticRegression(class_weight='balanced',C=1.0,);LogisticRegression(class_weight='balanced', max_iter=1000, random_state=123);0.01784210205078125;0.0021379338310934357;0.011219072341918945;0.0010388321142289008;51.85630083271694;0.7930203851869946;0.5229856414761332;0.02142284785490336;0.5312242388470809;0.015985910578059422;0.3879775182450835;0.008554613750481447;0.6621657767521016;0.007203013321043803;0.527104940161607;0.008456159588708032;0.5843576583798319;0.015205988455746066
15;QuantileTransformer();QuantileTransformer();PCA(n_components=2,);PCA(n_components=2, random_state=123);UMAP(n_components=2,n_neighbors=5,min_dist=0.5,);UMAP(min_dist=0.5, n_neighbors=5, random_state=123, tqdm_kwds={'bar_format': '{desc}: {percentage:3.0f}%| {bar} {n_fmt}/{total_fmt} [{elapsed}]', 'desc': 'Epochs completed', 'disable': True});LogisticRegression(class_weight='balanced',C=100,);"LogisticRegression(C=100, class_weight='balanced', max_iter=1000,
                   random_state=123)";0.018253040313720704;0.0022484443929176316;0.01196894645690918;0.001986286634041568;51.85630083271694;0.7930203851869946;0.5229856414761332;0.02142284785490336;0.5312242388470809;0.015985910578059422;0.3879775182450835;0.008554613750481447;0.6621657767521016;0.007203013321043803;0.527104940161607;0.008456159588708032;0.5843576583798319;0.015205988455746066
16;QuantileTransformer();QuantileTransformer();PCA(n_components=2,);PCA(n_components=2, random_state=123);UMAP(n_components=2,n_neighbors=5,min_dist=0.5,);UMAP(min_dist=0.5, n_neighbors=5, random_state=123, tqdm_kwds={'bar_format': '{desc}: {percentage:3.0f}%| {bar} {n_fmt}/{total_fmt} [{elapsed}]', 'desc': 'Epochs completed', 'disable': True});LogisticRegression(class_weight='balanced',C=1000,);"LogisticRegression(C=1000, class_weight='balanced', max_iter=1000,
                   random_state=123)";0.017983007431030273;0.003345995897855936;0.011129188537597656;0.0005025236933972853;51.85630083271694;0.7930203851869946;0.5229856414761332;0.02142284785490336;0.5312242388470809;0.015985910578059422;0.3879775182450835;0.008554613750481447;0.6621657767521016;0.007203013321043803;0.527104940161607;0.008456159588708032;0.5843576583798319;0.015205988455746066
17;QuantileTransformer();QuantileTransformer();PCA(n_components=2,);PCA(n_components=2, random_state=123);UMAP(n_components=2,n_neighbors=5,min_dist=1.0,);UMAP(min_dist=1.0, n_neighbors=5, random_state=123, tqdm_kwds={'bar_format': '{desc}: {percentage:3.0f}%| {bar} {n_fmt}/{total_fmt} [{elapsed}]', 'desc': 'Epochs completed', 'disable': True});LogisticRegression(class_weight=None,C=0.1,);LogisticRegression(C=0.1, max_iter=1000, random_state=123);0.015592145919799804;0.0016664179669636599;0.011107206344604492;0.0014314171784944952;43.83157582104819;0.007605497116465783;1.0;0.0;0.0;0.0;;;0.6372934240988181;0.00010558559763805562;0.5;0.0;0.7784718532170808;7.877170371096802e-05
18;QuantileTransformer();QuantileTransformer();PCA(n_components=2,);PCA(n_components=2, random_state=123);UMAP(n_components=2,n_neighbors=5,min_dist=1.0,);UMAP(min_dist=1.0, n_neighbors=5, random_state=123, tqdm_kwds={'bar_format': '{desc}: {percentage:3.0f}%| {bar} {n_fmt}/{total_fmt} [{elapsed}]', 'desc': 'Epochs completed', 'disable': True});LogisticRegression(class_weight=None,C=1.0,);LogisticRegression(max_iter=1000, random_state=123);0.015719890594482422;0.0007274877476916939;0.010340499877929687;0.0012745475799013429;43.83157582104819;0.007605497116465783;1.0;0.0;0.0;0.0;;;0.6372934240988181;0.00010558559763805562;0.5;0.0;0.7784718532170808;7.877170371096802e-05
19;QuantileTransformer();QuantileTransformer();PCA(n_components=2,);PCA(n_components=2, random_state=123);UMAP(n_components=2,n_neighbors=5,min_dist=1.0,);UMAP(min_dist=1.0, n_neighbors=5, random_state=123, tqdm_kwds={'bar_format': '{desc}: {percentage:3.0f}%| {bar} {n_fmt}/{total_fmt} [{elapsed}]', 'desc': 'Epochs completed', 'disable': True});LogisticRegression(class_weight=None,C=100,);LogisticRegression(C=100, max_iter=1000, random_state=123);0.015766429901123046;0.0018829617351507639;0.010651254653930664;0.0018897822078434805;43.83157582104819;0.007605497116465783;1.0;0.0;0.0;0.0;;;0.6372934240988181;0.00010558559763805562;0.5;0.0;0.7784718532170808;7.877170371096802e-05
20;QuantileTransformer();QuantileTransformer();PCA(n_components=2,);PCA(n_components=2, random_state=123);UMAP(n_components=2,n_neighbors=5,min_dist=1.0,);UMAP(min_dist=1.0, n_neighbors=5, random_state=123, tqdm_kwds={'bar_format': '{desc}: {percentage:3.0f}%| {bar} {n_fmt}/{total_fmt} [{elapsed}]', 'desc': 'Epochs completed', 'disable': True});LogisticRegression(class_weight=None,C=1000,);LogisticRegression(C=1000, max_iter=1000, random_state=123);0.01593480110168457;0.0018407529700749316;0.01007084846496582;0.0006062835038234186;43.83157582104819;0.007605497116465783;1.0;0.0;0.0;0.0;;;0.6372934240988181;0.00010558559763805562;0.5;0.0;0.7784718532170808;7.877170371096802e-05
